drug_name,num_prescriber,total_cost
HARVONI,5202,5992222544
CRESTOR,138200,2704097430
LANTUS SOLOSTAR,101227,2237688500
ADVAIR DISKUS,120044,2038325950
SPIRIVA,108356,1966117068
JANUVIA,94504,1910493981
REVLIMID,5450,1887150891
NEXIUM,107854,1761213922
LANTUS,87111,1623149914
LYRICA,103305,1526906113
XARELTO,76816,1297283900
ABILIFY,33479,1291257874
COPAXONE,5369,1236227467
ENBREL,6948,1226634371
RENVELA,14906,1167304750
ZETIA,79385,1054879525
LEVEMIR FLEXTOUCH,56847,1042621308
SYMBICORT,82341,1022760028
HUMIRA PEN,8127,1013755194
GLEEVEC,4494,985510789
SENSIPAR,14142,866719404
NAMENDA XR,48232,860224729
NOVOLOG FLEXPEN,44974,849451340
OXYCONTIN,39700,824417773
TECFIDERA,3157,792549607
ELIQUIS,45476,782329758
LEVOTHYROXINE SODIUM,226738,765369146
SOVALDI,1246,715153858
HYDROCODONE-ACETAMINOPHEN,274312,709185337
ATORVASTATIN CALCIUM,245740,700425906
DULOXETINE HCL,141438,685409843
RESTASIS,26757,676692299
ARIPIPRAZOLE,28067,637809213
TRUVADA,6569,637347281
ZYTIGA,3167,637250238
XTANDI,2765,604956474
INVEGA SUSTENNA,8237,603820675
METOPROLOL SUCCINATE,190472,589621919
NAMENDA,49430,534300229
ATRIPLA,5222,529041455
PROAIR HFA,167184,512296615
LATUDA,14339,500857729
VESICARE,49277,494441109
HUMALOG KWIKPEN U-100,28674,490314208
OXYCODONE-ACETAMINOPHEN,159507,488790835
SEROQUEL XR,20947,487194058
GABAPENTIN,248495,475595819
NOVOLOG,33594,452409430
IMBRUVICA,2194,445406029
PRADAXA,34570,440515741
OMEPRAZOLE,248385,437690247
LETAIRIS,1539,427119832
VICTOZA 3-PAK,17317,425265434
TAMSULOSIN HCL,156481,410951158
PRAVASTATIN SODIUM,169097,408510325
LUMIGAN,24982,402586965
EXELON,23341,398867748
POTASSIUM CHLORIDE,166435,396467810
TRADJENTA,29912,394874199
CELECOXIB,75509,387750415
PREZISTA,5120,383917838
LEVEMIR,28656,383520033
DEXILANT,40963,370646522
ISENTRESS,5241,367259871
JANUMET,29031,365067513
HUMALOG,30254,357889503
FENOFIBRATE,95896,348204725
COMBIVENT RESPIMAT,40364,342351727
RANEXA,23321,336191522
GILENYA,1630,327875057
BENICAR,44786,324468213
FORTEO,5159,323081495
INVOKANA,22624,316282283
TRACLEER,1415,310256815
TRAVATAN Z,26683,304289604
TARCEVA,2151,301390658
LIDOCAINE,28427,298078366
FENTANYL,61048,295767484
CLOBETASOL PROPIONATE,35213,293160789
HUMIRA,3034,293043138
MORPHINE SULFATE ER,55660,287889390
BYSTOLIC,50551,277485262
VALSARTAN,93267,275913087
HYDROXYCHLOROQUINE SULFATE,21921,272036619
NOVOLOG MIX 70-30 FLEXPEN,15060,269737283
H.P. ACTHAR,300,266197666
JAKAFI,1362,262592901
AMLODIPINE BESYLATE,247749,259583894
MYRBETRIQ,20472,258842977
DIVALPROEX SODIUM ER,39024,258290940
AVONEX PEN,2016,257794091
GAMMAGARD LIQUID,1010,257127358
SIMVASTATIN,218324,257001531
OMEGA-3 ACID ETHYL ESTERS,39539,253375738
OXYCODONE HCL,99987,252391286
VIMPAT,10216,251927907
LISINOPRIL,257495,249019386
AUBAGIO,1227,247741627
STRIBILD,2588,246401803
CREON,11060,244331711
RISPERDAL CONSTA,7696,238381943
AVONEX,2182,236227485
XIFAXAN,6705,233482363
PREMARIN,45292,230721948
INVEGA,7650,228829124
SYNTHROID,94202,228334424
POMALYST,912,228198880
RALOXIFENE HCL,38192,223041906
REYATAZ,4114,222061401
AFINITOR,1166,220634526
LOSARTAN POTASSIUM,199711,213718337
CLOPIDOGREL,177529,209656817
REBIF,1796,208796743
WELCHOL,17699,204850113
OPSUMIT,783,202972236
TIVICAY,2959,194038844
MULTAQ,11709,193692460
EPZICOM,3585,191152227
ESBRIET,958,190959715
TRIUMEQ,2093,189030853
ADCIRCA,1694,186742673
LINZESS,19886,186373660
COMBIGAN,19890,185560367
VOLTAREN,55083,181881405
AVODART,24490,178952965
BETASERON,1457,178421697
WARFARIN SODIUM,165967,178093074
BENICAR HCT,27002,176598943
QUETIAPINE FUMARATE,104518,175693262
TASIGNA,1228,175208541
METFORMIN HCL,202581,174558081
PANTOPRAZOLE SODIUM,187348,171872269
ONGLYZA,17850,171745870
SPRYCEL,1174,169053015
DONEPEZIL HCL,117245,168821714
AMITIZA,20662,167766530
IBRANCE,883,166944516
VYTORIN,22484,164827861
XENAZINE,741,160528434
METHOTREXATE,24619,158268182
AZILECT,6098,157975509
SUBOXONE,7458,157967082
NORVIR,6265,154544971
DULERA,18140,152786213
PREDNISOLONE ACETATE,21130,152060639
AMPYRA,2050,149492978
ALPHAGAN P,15483,148989364
COMPLERA,2162,148240321
FLUTICASONE PROPIONATE,175326,145860884
ZOSTAVAX,13889,142645581
ESOMEPRAZOLE MAGNESIUM,26235,142034908
MONTELUKAST SODIUM,136382,141089151
OFEV,793,139101906
FLOVENT HFA,24673,137237970
METOPROLOL TARTRATE,212292,137174889
SUBSYS,359,136848770
METFORMIN HCL ER,89364,135099763
FUROSEMIDE,229049,134482050
ULORIC,17597,134179790
